,,,KEY COVID COMPOUNDING RISKS,,,,,,,,,,,
,,,,,,,,,,,,,,
COUNTRY,ISO3,COVID Risk,Seasonal Risk,Food Insecurity,Conflict ,Fiscal,Economic and Financial,Fragility,NatCat Risk,Institutions,FISCAL,FRAGILITY,Average Risk Score,Count Flags
(a-z),(a-z),,,,,,,,,,,,,
Kyrgyzstan,KGZ,6.1,#N/A,0.0,0.0,0.0,3.8,2.6,5.2,5.2,3.3,1.7,2.4,3.0
Lao PDR,LAO,6.7,0.9,0.0,0.0,7.0,4.0,4.4,4.9,6.4,4.6,3.2,3.4,2.0
Latvia,LVA,5.0,#N/A,0.0,0.0,0.0,3.7,1.1,2.0,3.7,2.9,1.2,1.5,1.0
Lebanon,LBN,6.7,#N/A,0.0,0.0,0.0,4.3,6.2,5.3,5.8,3.7,2.6,3.1,4.0
Lesotho,LSO,7.9,0.0,6.0,0.0,0.0,4.0,5.9,2.2,7.4,3.0,3.3,3.2,5.0
Liberia,LBR,7.6,0.0,2.0,0.0,0.0,4.9,6.1,4.0,7.5,3.1,2.6,3.1,4.0
Libya,LBY,8.0,#N/A,0.0,11.1,0.0,10.0,5.1,3.7,8.5,6.0,4.8,5.5,5.0
Liechtenstein,LIE,3.9,,0.0,0.0,0.0,0.0,0.8,1.3,1.5,1.3,0.9,0.5,1.0
Lithuania,LTU,5.2,#N/A,0.0,0.0,0.0,2.7,1.1,1.7,3.5,2.6,1.3,1.3,1.0
Luxembourg,LUX,5.2,#N/A,0.0,0.0,0.0,2.3,1.3,0.7,1.7,2.5,1.3,0.9,1.0
Madagascar,MDG,7.6,4.7,4.0,0.4,0.0,4.0,5.1,6.1,6.1,4.1,3.6,3.8,6.0
Malawi,MWI,8.1,3.1,4.0,0.0,0.0,4.0,6.2,4.5,5.4,3.8,3.6,3.4,4.0
Malaysia,MYS,4.8,0.3,0.0,0.0,0.0,3.7,3.1,4.9,3.2,2.2,1.4,1.9,1.0
Maldives,MDV,6.9,0.0,0.0,0.0,7.0,5.3,1.7,3.2,6.2,4.8,2.6,2.9,2.0
Mali,MLI,8.5,0.2,6.0,7.6,0.0,5.1,6.6,3.7,6.0,3.5,4.8,4.4,7.0
Malta,MLT,6.0,#N/A,0.0,0.0,0.0,5.0,2.0,2.5,3.9,3.7,1.6,1.9,1.0
Marshall Islands,MHL,8.2,#N/A,0.0,0.0,0.0,4.9,3.9,3.6,7.7,4.4,2.4,2.9,3.0
Mauritania,MRT,8.0,1.5,6.0,0.0,7.0,1.3,6.6,5.6,5.9,4.5,4.9,4.2,5.0
Mauritius,MUS,6.7,0.0,0.0,0.0,0.0,5.0,1.5,3.8,3.7,2.9,1.4,1.8,1.0
Mexico,MEX,5.4,#N/A,0.0,9.0,0.0,3.7,3.8,6.8,5.7,3.0,3.6,4.1,5.0
Micronesia,FSM,7.5,#N/A,0.0,0.0,7.0,6.5,4.6,4.3,5.7,7.0,3.8,4.0,3.0
Moldova Republic of,MDA,6.5,#N/A,0.0,0.0,0.0,2.9,1.9,4.1,6.3,3.1,1.7,2.2,2.0
Mongolia,MNG,6.5,#N/A,0.0,0.0,0.0,4.3,2.8,2.7,5.6,3.6,1.9,2.2,2.0
Montenegro,MNE,6.3,#N/A,0.0,0.0,0.0,4.7,1.4,4.2,4.6,3.7,1.5,2.1,1.0
